Наименование ДП,Итого,"Макс. ПДЗ за 2020 год, дней","Сред. ПДЗ за 2020 год, дней","Кол-во просрочек свыше 5-ти дней за 2020 год, шт.","Общая сумма ПДЗ свыше 5-ти дней за 2020 год, руб.","2019, Основные средства , RUB","2016, Заёмные средства (долгосрочные), RUB","2017, Заёмные средства (долгосрочные), RUB","2018, Заёмные средства (долгосрочные), RUB","2019, Заёмные средства (долгосрочные), RUB","2017, Долгосрочные обязательства, RUB","2018, Долгосрочные обязательства, RUB","2019, Долгосрочные обязательства, RUB","2018, Краткосрочные обязательства, RUB",Факт просрочки
0,10.0,10,6.4,4,2229696.445859872,3606102547.770701,0.0,0.0,0.0,0.0,258973248.4076433,271221019.1082802,276483439.4904459,5957030573.248407,True
1,20.0,4,4.0,0,0.0,172845859.8726115,0.0,0.0,0.0,0.0,4528025.477707006,5033757.961783439,5659235.668789809,129663694.2675159,True
2,40.0,6,5.333333333333333,2,3759242.03821656,1027507643.312102,0.0,0.0,0.0,0.0,11831210.1910828,2843949.044585987,0.0,227356687.8980892,True
3,10.0,8,6.2,3,7152926.770700637,16362338853.50318,4107721656.050955,2786053503.184713,5998324840.764331,7705152866.242038,3555463057.324841,6928275796.178344,8877770063.694267,4117201273.88535,True
4,20.0,1,1.0,0,0.0,30264612738.8535,62352467515.92356,95734443312.10191,90432717197.45222,95504385987.26114,97175324840.76431,92237910191.0828,98182435668.7898,18144133757.96178,True
5,40.0,21,17.66666666666667,5,4486078.904458598,39420564331.21019,4990870700.636943,4283736305.732484,4142978980.89172,2237329299.363057,6070075796.178344,6026959872.611465,4169849044.585987,10780865605.09554,True
6,40.0,0,0.0,0,0.0,12484871974.52229,45461484076.43312,48036178980.89172,59883778343.94904,40571640764.33121,48899433757.96178,60827592993.63057,41414824203.82166,6879279617.834394,False
7,40.0,18,6.882352941176471,7,2622550.140127389,27776433.1210191,0.0,0.0,0.0,0.0,2000636.942675159,1170063.694267516,737579.6178343949,37847770.70063694,True
8,20.0,6,2.411764705882353,1,202624.5605095541,513924840.7643312,0.0,0.0,181376433.1210191,204732484.0764331,0.0,188318471.3375796,216596815.2866242,119785350.3184713,True
9,40.0,211,103.3888888888889,16,26025310.15286624,27977070.06369426,4267515.923566879,44585987.26114649,0.0,0.0,46331210.1910828,1495541.401273885,2189171.974522293,148846496.8152866,True
10,140.0,54,17.84210526315789,144,77052008.55414009,83178399363.05733,114844026114.6497,69194505095.5414,88849105095.5414,124945420382.1656,75275508917.19745,95423433121.0191,132067687898.0892,40805775796.17834,True
11,40.0,3,1.666666666666667,0,0.0,90912738.85350318,41273885.35031847,28216560.50955414,15222929.93630573,4076433.121019108,30149681.52866242,17129936.30573248,5894267.515923566,226978980.8917197,True
12,20.0,12,3.083333333333333,5,1456732.656050955,49246496.81528662,41325477.70700637,51668789.8089172,26114649.68152866,114649044.5859872,52056050.95541401,26501910.82802548,115036305.7324841,250019108.2802548,True
13,10.0,5,2.230769230769231,0,0.0,212961783.4394904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6268584713.375796,True
14,10.0,0,0.0,0,0.0,162071337.5796178,0.0,31847133.75796178,86624203.82165605,71337579.61783439,31847133.75796178,86624203.82165605,71337579.61783439,582197452.2292993,False
15,20.0,22,11.1,8,2565653.917197452,392966242.0382165,445859872.611465,501988535.0318471,407107006.3694267,500707643.3121019,512550955.4140127,416980891.7197452,513833121.0191082,603021656.0509554,True
16,0.0,0,0.0,0,0.0,59908280.25477707,0.0,0.0,0.0,0.0,5902547.770700636,6626751.592356687,4692356.687898089,74565605.0955414,False
17,20.0,0,0.0,0,0.0,108076433.1210191,0.0,244904458.5987261,237668789.8089172,222838853.5031847,245892993.6305732,237826114.6496815,222892993.6305732,463372611.4649681,False
18,20.0,0,0.0,0,0.0,428924203.8216561,87574522.29299362,180912101.910828,198985350.3184713,199000636.9426752,181601273.8853503,199743312.1019108,425573885.3503184,120820382.1656051,False
19,10.0,0,0.0,0,0.0,186921656.0509554,0.0,0.0,0.0,0.0,19434394.9044586,11632484.07643312,12904458.59872611,161466878.9808917,False
20,10.0,8,2.296296296296296,3,435709.9235668789,69588535.03184713,0.0,0.0,0.0,0.0,464331.2101910828,410828.025477707,445222.9299363057,36363057.32484076,True
21,10.0,1,1.0,0,0.0,46058598.72611465,0.0,0.0,0.0,88594904.45859872,1897452.229299363,2033757.96178344,93203821.65605097,238252866.2420382,True
22,10.0,0,0.0,0,0.0,18442038.21656051,0.0,8331210.191082803,1910828.025477707,4757961.78343949,9008917.197452229,2603184.713375796,5476433.121019108,19592356.68789809,False
23,40.0,14,11.0,2,374934.1146496816,1482455414.012739,902004458.598726,756531847.133758,539292356.687898,56285987.26114649,1664096178.343949,1643989808.917198,1459581528.662421,13134838853.50318,True
24,20.0,1,1.0,0,0.0,514985350.3184713,0.0,0.0,0.0,0.0,49418471.33757962,58749681.52866242,66025477.70700637,905069426.7515924,True
25,0.0,1,1.0,0,0.0,15923998089.17197,52287850318.47134,47742923566.87898,29198203821.65605,15301485987.26115,48304843312.10191,29730873248.40764,15573978343.94904,6430150955.414013,True
26,0.0,0,0.0,0,0.0,8779617.834394904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24654777.07006369,False
27,60.0,0,0.0,0,0.0,1944550318.471338,99336305.73248409,7072044585.987261,9359010191.082802,9554215923.56688,61013635668.78981,47630438853.50318,13316130573.24841,32670143949.04458,False
28,10.0,363,92.77777777777776,16,11905180.96178344,105590338216.5605,60904296815.28662,50550113375.79617,53545859872.61147,67327288535.03185,57529963694.26752,60552229299.36305,74481664331.21019,93803184713.3758,True
29,40.0,7,3.181818181818182,2,3417934.286624204,5068259235.66879,0.0,0.0,0.0,0.0,670454140.1273885,540747133.7579618,769213375.7961783,1384940127.388535,True
30,140.0,12,9.0,3,859826.0191082801,109777485987.2611,6635971337.579618,36045082165.60509,32834063694.26752,22261891082.80255,39778434394.90446,37155240764.33121,27230198089.17197,34990158598.72611,True
31,0.0,13,9.666666666666666,3,3226880.891719745,3395414012.738853,0.0,0.0,1371974522.292994,1616645859.872611,100000000.0,1500636942.675159,1762168152.866242,222929936.3057325,True
32,10.0,17,4.125,3,4995108.910828025,110529936.3057325,125031847.133758,129490445.8598726,66242038.21656051,25477707.00636943,129490445.8598726,66242038.21656051,25477707.00636943,102275796.178344,True
33,10.0,30,9.625,3,536331.7898089172,79736942.67515923,0.0,0.0,0.0,0.0,3805095.541401274,4342038.216560509,4513375.796178344,29522929.93630573,True
