Наименование ДП,Итого,"Макс. ПДЗ за 2020 год, дней","Сред. ПДЗ за 2020 год, дней","Кол-во просрочек свыше 5-ти дней за 2020 год, шт.","Общая сумма ПДЗ свыше 5-ти дней за 2020 год, руб.","Кол-во раз ПДЗ за 2020 год, шт.","2016, Основные средства , RUB","2017, Основные средства , RUB","2018, Основные средства , RUB","2019, Основные средства , RUB","2016, Внеоборотные активы, RUB","2017, Внеоборотные активы, RUB","2018, Внеоборотные активы, RUB","2019, Внеоборотные активы, RUB","2016, Дебиторская задолженность, RUB","2017, Дебиторская задолженность, RUB","2018, Дебиторская задолженность, RUB","2019, Дебиторская задолженность, RUB","2016, Заёмные средства (долгосрочные), RUB","2017, Заёмные средства (долгосрочные), RUB","2018, Заёмные средства (долгосрочные), RUB","2019, Заёмные средства (долгосрочные), RUB","2016, Долгосрочные обязательства, RUB","2017, Долгосрочные обязательства, RUB","2018, Долгосрочные обязательства, RUB","2019, Долгосрочные обязательства, RUB","2016, Заёмные средства (краткосрочные), RUB","2018, Заёмные средства (краткосрочные), RUB","2019, Заёмные средства (краткосрочные), RUB","2016, Кредиторская задолженность, RUB","2017, Кредиторская задолженность, RUB","2018, Кредиторская задолженность, RUB","2019, Кредиторская задолженность, RUB","2016, Краткосрочные обязательства, RUB","2017, Краткосрочные обязательства, RUB","2018, Краткосрочные обязательства, RUB","2019, Краткосрочные обязательства, RUB","2018, Выручка, RUB","2019, Выручка, RUB","2017, Себестоимость продаж, RUB","2018, Себестоимость продаж, RUB","2019, Себестоимость продаж, RUB","2016, Прибыль (убыток) до налогообложения , RUB","2019, Прибыль (убыток) до налогообложения , RUB","2018, Прибыль (убыток) от продажи, RUB",Факт просрочки
0,10.0,10,6.4,4,2229696.445859872,5,1889724203.821656,1803724203.821656,2145239490.44586,3606102547.770701,1928685350.318471,1880842038.21656,2440077707.006369,3737611464.968153,3583765605.095541,3683358598.726114,3475461146.496815,3692142038.21656,0.0,0.0,0.0,0.0,249877707.0063694,258973248.4076433,271221019.1082802,276483439.4904459,0.0,392391719.7452229,0.0,4080056050.955414,4452921656.050955,5476906369.426751,3478978343.949044,4165168152.866242,4548177707.00637,5957030573.248407,3577885350.318471,37039522292.99363,32347554140.12739,33354425477.707,34383128662.42038,26734812101.91083,3179696815.286624,3603784076.433121,871619108.2802547,True
1,20.0,4,4.0,0,0.0,1,144810828.0254777,148715286.6242038,152642675.1592357,172845859.8726115,145678343.9490446,149798726.1146497,153892356.6878981,174263694.2675159,55847770.70063694,46782165.60509554,156347770.7006369,173863694.2675159,0.0,0.0,0.0,0.0,3108280.25477707,4528025.477707006,5033757.961783439,5659235.668789809,9745222.929936305,63498726.11464968,82392993.63057324,9075159.23566879,10154777.07006369,66164968.15286624,82105095.54140127,18820382.16560509,57761146.49681529,129663694.2675159,164498089.1719745,543430573.2484076,724126114.6496814,205532484.0764331,416979617.8343949,534995541.4012738,12123566.87898089,87475159.2356688,51357324.84076433,True
2,40.0,6,5.333333333333333,2,3759242.03821656,3,969806369.4267516,944416560.509554,928738853.5031848,1027507643.312102,973274522.2929935,1036412101.910828,1018682165.605096,1233413375.796178,281467515.9235669,232107006.3694268,228049681.5286624,277031210.1910828,0.0,0.0,0.0,0.0,13398089.17197452,11831210.1910828,2843949.044585987,0.0,0.0,0.0,0.0,82468789.8089172,88571974.52229299,123771337.5796178,115282802.5477707,136368789.8089172,174224203.821656,227356687.8980892,216409554.1401274,2592420382.165605,2754207643.312102,2178598089.171975,2316724203.821656,2460678980.89172,502666242.0382165,-645643949.044586,-92989808.91719744,True
3,10.0,8,6.2,3,7152926.770700637,5,8874127388.535032,10609771337.57962,14264915923.56688,16362338853.50318,10978240127.38854,12799207643.3121,18201022292.99363,21823241401.27388,3047629936.305732,3525893630.573248,5362189808.917197,5669854777.070064,4107721656.050955,2786053503.184713,5998324840.764331,7705152866.242038,4772777707.00637,3555463057.324841,6928275796.178344,8877770063.694267,1230838216.560509,966515286.6242038,1920373248.407644,1214650955.414013,2390994267.515924,2522167515.923567,1333817197.452229,2639315286.624204,4090736305.732484,4117201273.88535,3550095541.401274,21657988535.03185,18804396178.34395,10635421019.10828,11713152229.29936,12726040127.38854,4100856687.898089,3999298089.171974,7869977070.063694,True
4,20.0,1,1.0,0,0.0,2,26331612101.91083,29385844585.98726,30089698726.11465,30264612738.8535,111404193630.5732,104497008917.1974,100154213375.7962,120662075159.2357,4541816560.509554,4383371974.522293,11246701273.88535,10521138853.50318,62352467515.92356,95734443312.10191,90432717197.45222,95504385987.26114,63118373248.40764,97175324840.76431,92237910191.0828,98182435668.7898,35729452229.29936,13562033757.96178,25736810191.0828,5608172611.464968,4287299363.057325,3855060509.55414,4801099363.057324,41634308917.19745,11072929936.30573,18144133757.96178,31322370700.63694,86119098089.17197,94097654140.12738,23400422292.99363,26525468789.80892,30558275159.23567,71639800636.94267,49604078343.94904,53075239490.44585,True
5,40.0,21,17.66666666666667,5,4486078.904458598,6,35452358598.72611,35819603821.65605,35873358598.72611,39420564331.21019,35844258598.72611,35880066242.03822,36543041401.27389,39925541401.27388,3929728662.420382,6912857324.840764,6165454777.070064,19020166242.03822,4990870700.636943,4283736305.732484,4142978980.89172,2237329299.363057,5941926751.592357,6070075796.178344,6026959872.611465,4169849044.585987,1403783439.490446,3446008280.254777,1503112738.853503,2898902547.7707,8729386624.203821,7086105732.484076,16405092356.6879,4466132484.076433,10155770700.63694,10780865605.09554,18160373248.40764,46379745859.87261,52539207006.36942,12485565605.09554,14396717834.3949,15606152866.24204,9990123566.87898,32952542038.21656,30425531847.13376,True
6,40.0,0,0.0,0,0.0,0,10127901910.82803,11503770063.69427,11142412738.8535,12484871974.52229,47680943949.04459,41387948407.64331,42873052229.29936,33753598726.11465,5114849681.528663,6560424203.821656,10995872611.46497,8921848407.643312,45461484076.43312,48036178980.89172,59883778343.94904,40571640764.33121,46169423566.87898,48899433757.96178,60827592993.63057,41414824203.82166,1579972611.464968,711331210.1910827,1390140127.388535,12590846496.81529,4416149044.585987,5925311464.968153,6442635031.847134,14454738216.56051,14804852229.29936,6879279617.834394,8130221656.050955,75005711464.96815,65814555414.01273,42269070063.69427,49694920382.1656,55555932484.07643,22945890445.85987,4937961146.496815,20944695541.40127,False
7,40.0,18,6.882352941176471,7,2622550.140127389,17,35815923.56687898,30640127.38853503,31544585.98726114,27776433.1210191,82024203.82165605,78015923.56687897,74730573.24840765,71534394.9044586,151794904.4585987,158761783.4394904,47075796.17834394,47875159.23566879,0.0,0.0,0.0,0.0,890445.8598726115,2000636.942675159,1170063.694267516,737579.6178343949,9554.140127388537,11165605.0955414,13996815.2866242,40801273.88535032,29595541.40127388,24449681.52866242,28761146.49681529,43390445.85987261,38563694.26751592,37847770.70063694,44586624.20382165,397070063.6942675,331110828.0254777,392873885.3503184,366075796.178344,302210191.0828025,35164331.21019108,12585350.31847134,16398726.11464968,True
8,20.0,6,2.411764705882353,1,202624.5605095541,17,183940764.3312102,0.0,436887261.1464968,513924840.7643312,185503184.7133757,0.0,438275159.2356688,515273885.3503184,72462420.3821656,0.0,110446496.8152866,82609554.14012739,0.0,0.0,181376433.1210191,204732484.0764331,4659872.611464968,0.0,188318471.3375796,216596815.2866242,57324840.76433121,31847133.75796178,87840127.38853502,118577707.0063694,0.0,76364331.21019109,133442038.2165605,182687261.1464968,0.0,119785350.3184713,228864331.2101911,1031371974.522293,1157608280.254777,0.0,922115923.5668788,1037101273.88535,87852229.29936305,53671974.52229299,65754140.12738853,True
9,40.0,211,103.3888888888889,16,26025310.15286624,18,7561783.439490446,21100000.0,31663057.32484076,27977070.06369426,7653503.184713376,21175796.17834395,31733121.01910828,34759872.61146497,83891719.74522293,84185350.31847133,123931210.1910828,65626751.59235668,4267515.923566879,44585987.26114649,0.0,0.0,5112738.853503184,46331210.1910828,1495541.401273885,2189171.974522293,0.0,33610828.02547771,0.0,67093630.5732484,54471337.57961784,114919108.2802548,107061783.4394904,68864968.15286624,54786624.20382165,148846496.8152866,107124840.7643312,339275159.2356688,280462420.3821656,313912101.910828,289257324.8407643,266484076.433121,21464331.21019108,-31038216.56050955,7669426.751592357,True
10,140.0,54,17.84210526315789,144,77052008.55414009,171,55047177707.00637,57665553503.18471,63105257961.78344,83178399363.05733,202659293630.5732,190506982802.5478,186463100636.9426,212799396178.344,17311860509.55414,21012832484.07643,24092142675.15924,29891915923.56688,114844026114.6497,69194505095.5414,88849105095.5414,124945420382.1656,121213183439.4904,75275508917.19745,95423433121.0191,132067687898.0892,45149244585.98726,13606219108.28025,36728138216.56051,24577015286.6242,23874052866.24204,25141844585.98726,30926922292.99363,71605289808.91719,83273394267.51591,40805775796.17834,69481746496.81528,275651303821.6561,291457262420.3821,166391112101.9108,189451666242.0382,222468184076.4331,67848528662.42038,76250080891.71974,64321452866.24204,True
11,40.0,3,1.666666666666667,0,0.0,3,100513375.7961783,101701910.8280255,96886624.20382166,90912738.85350318,115938853.5031847,116789171.9745223,116119745.2229299,117794267.5159236,54693630.57324841,58904458.59872611,43500636.94267516,11010828.02547771,41273885.35031847,28216560.50955414,15222929.93630573,4076433.121019108,42610828.02547771,30149681.52866242,17129936.30573248,5894267.515923566,131385350.3184713,188929299.3630573,145310191.0828025,35564968.15286624,33636305.73248407,36165605.0955414,65691082.80254777,168810191.0828025,187518471.3375796,226978980.8917197,212795541.4012739,676472611.4649681,424861146.4968153,682882802.5477706,615086624.2038217,388774522.2929936,7221019.108280255,-39412738.85350318,3742038.21656051,True
12,20.0,12,3.083333333333333,5,1456732.656050955,36,67622929.93630573,62559872.61146496,58159235.66878981,49246496.81528662,96049681.5286624,75084713.37579617,58635031.84713376,49613375.79617834,150803821.656051,165670700.6369427,218949681.5286624,328957961.7834395,41325477.70700637,51668789.8089172,26114649.68152866,114649044.5859872,41712738.85350318,52056050.95541401,26501910.82802548,115036305.7324841,44909554.14012738,66878980.89171974,27834394.9044586,99626114.64968152,207251592.3566879,183140127.3885351,264650318.4713376,144535668.7898089,244754777.0700637,250019108.2802548,292484713.3757961,694632484.0764331,637400636.9426751,582274522.2929937,669937579.6178343,609470063.6942675,3811464.968152866,9601910.828025475,24694904.45859873,True
13,10.0,5,2.230769230769231,0,0.0,13,168522292.9936306,160982165.6050955,213025477.7070064,212961783.4394904,5788577707.00637,5795498089.171974,5259647133.757961,4960145859.872611,2062121656.050956,2698771974.522293,1877126114.649682,1611080254.77707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7351321656.050955,7136992356.687898,5690907643.312101,5337441401.273885,8599043949.044586,7738454777.070064,6268584713.375796,5690636305.732484,1705433121.019108,2284331847.133758,1460926751.592357,1507584076.433121,1955467515.923567,108722929.9363057,54171337.57961784,29682802.5477707,True
14,10.0,0,0.0,0,0.0,0,149160509.5541401,213150955.4140128,188259235.6687898,162071337.5796178,149173885.3503185,213213375.7961784,188365605.0955414,162157324.8407643,114508280.2547771,66396815.2866242,202740127.3885351,250240127.3885351,0.0,31847133.75796178,86624203.82165605,71337579.61783439,0.0,31847133.75796178,86624203.82165605,71337579.61783439,0.0,43819108.28025477,53843949.04458599,573029299.3630573,546189171.9745222,537719745.22293,428870063.6942675,573029299.3630573,552452229.299363,582197452.2292993,491783439.4904459,924578343.9490446,856344585.987261,566869426.7515923,701822292.9936305,654863694.2675159,9884076.433121018,20189171.97452229,27756050.95541401,False
15,20.0,22,11.1,8,2565653.917197452,10,250407643.3121019,259369426.7515924,373128025.477707,392966242.0382165,515383439.4904459,527526114.6496815,642540764.3312101,662336305.7324841,169044585.9872611,216674522.2929936,340383439.4904459,300154777.0700637,445859872.611465,501988535.0318471,407107006.3694267,500707643.3121019,456298726.1146497,512550955.4140127,416980891.7197452,513833121.0191082,0.0,227924203.821656,136235031.8471338,295750318.4713376,255295541.4012739,371597452.2292994,380276433.1210191,308408917.1974522,260414649.6815286,603021656.0509554,522476433.1210191,1166204458.598726,1467961783.43949,902661146.4968152,904256687.8980892,1207708280.254777,39271974.52229299,51215286.62420382,129052229.299363,True
16,0.0,0,0.0,0,0.0,0,44409554.14012738,47219745.22292993,47102547.77070063,59908280.25477707,49314012.7388535,51989808.91719745,49947770.70063694,60969426.75159235,67989171.9745223,10715923.56687898,18661146.49681529,20245222.9299363,0.0,0.0,0.0,0.0,8354140.127388535,5902547.770700636,6626751.592356687,4692356.687898089,0.0,0.0,0.0,106701273.8853503,90117834.39490443,66932484.07643312,64491719.74522293,109426751.5923567,95585987.26114649,74565605.0955414,73496815.28662421,399285987.2611465,498419745.2229299,240438853.5031847,331794904.4585987,428728662.4203821,9197452.229299365,27367515.92356688,28552866.24203822,False
17,20.0,0,0.0,0,0.0,0,93471974.522293,88704458.59872611,100944585.9872612,108076433.1210191,99531210.1910828,92905732.48407644,105085350.3184713,109024203.821656,144464968.1528662,227656050.955414,232242038.2165605,176700636.9426751,0.0,244904458.5987261,237668789.8089172,222838853.5031847,2729936.305732484,245892993.6305732,237826114.6496815,222892993.6305732,108392993.6305732,1836942.675159235,66878.98089171974,186961146.4968153,432296815.2866242,451511464.9681528,474757324.8407643,303103184.7133758,443431847.133758,463372611.4649681,485255414.0127388,1653594904.458599,1860641401.273885,1039514649.681529,1561664331.210191,1758073885.350318,8768152.866242038,25660509.55414013,36605095.54140128,False
18,20.0,0,0.0,0,0.0,0,57715923.56687898,68599363.05732484,82795541.40127388,428924203.8216561,76944585.98726115,87787898.08917198,138063057.3248408,496138216.5605096,69178980.89171974,129153503.1847134,127187261.1464968,106841401.2738853,87574522.29299362,180912101.910828,198985350.3184713,199000636.9426752,87820382.1656051,181601273.8853503,199743312.1019108,425573885.3503184,266878.9808917197,313375.7961783439,10919745.22292994,67321656.05095541,71889171.9745223,120328025.477707,149347133.7579618,67588535.03184713,72205732.48407643,120820382.1656051,160463057.3248408,683632484.0764331,714416560.5095541,614763057.3248408,590376433.1210191,611747133.7579618,41878980.89171974,8880254.777070064,16999363.05732484,False
19,10.0,0,0.0,0,0.0,0,250624840.7643312,250624840.7643312,195112101.910828,186921656.0509554,267877707.0063694,267877707.0063694,212864968.1528662,198677070.0636943,252956687.8980892,252956687.8980892,295180254.77707,252684713.3757962,0.0,0.0,0.0,0.0,19434394.9044586,19434394.9044586,11632484.07643312,12904458.59872611,0.0,0.0,0.0,220947133.7579617,220947133.7579617,152475796.178344,227116560.5095541,229256687.8980892,229256687.8980892,161466878.9808917,235056687.8980892,1768051592.356688,1075808917.197452,876206369.4267516,1436126751.592357,902991719.7452228,151808280.2547771,50075159.23566879,148417834.3949045,False
20,10.0,8,2.296296296296296,3,435709.9235668789,27,87252229.29936305,80040127.38853502,78512738.85350318,69588535.03184713,88830573.24840765,81547770.70063694,80104458.59872611,71422929.93630573,81146496.81528662,61470700.63694267,66347770.70063694,61354140.12738853,0.0,0.0,0.0,0.0,240127.3885350318,464331.2101910828,410828.025477707,445222.9299363057,0.0,0.0,0.0,32321656.05095541,29148407.6433121,30474522.29299363,33902547.77070063,36652866.24203821,34786624.20382165,36363057.32484076,40615923.56687898,412656050.955414,405317197.4522293,323068789.8089172,352445222.9299363,326584076.433121,14237579.6178344,2944585.987261146,-8398726.114649681,True
21,10.0,1,1.0,0,0.0,1,22368152.86624204,25818471.33757961,33210828.02547771,46058598.72611465,22545859.87261146,25954777.07006369,33997452.22929936,47052229.29936305,52289808.91719745,92535668.78980891,290073885.3503184,267946496.8152866,0.0,0.0,0.0,88594904.45859872,1601273.885350318,1897452.229299363,2033757.96178344,93203821.65605097,13835668.78980892,62719745.22292993,165885987.2611465,43284076.43312102,20755414.01273885,175533121.0191083,36244585.98726115,57119745.22292993,72386624.20382166,238252866.2420382,202130573.2484076,1066617197.452229,756092356.687898,299315286.6242038,478896815.2866242,477057324.8407643,45539490.44585987,66255414.01273885,244385987.2611465,True
22,10.0,0,0.0,0,0.0,0,21390445.85987261,20007643.31210191,19044585.98726114,18442038.21656051,22926114.64968153,21525477.70700637,20354140.12738853,19712101.91082802,4706369.426751592,4028025.477707006,4205095.541401274,2335668.789808917,0.0,8331210.191082803,1910828.025477707,4757961.78343949,657961.7834394904,9008917.197452229,2603184.713375796,5476433.121019108,7303821.656050955,5833121.01910828,6788535.031847133,16506369.42675159,11936942.67515924,13759235.66878981,6884076.433121019,23810191.08280255,14267515.92356688,19592356.68789809,13672611.46496815,76477707.00636943,75753503.18471338,8706369.426751591,6092356.687898089,8094904.458598725,2420382.165605095,-126751.5923566879,2353503.184713376,False
23,40.0,14,11.0,2,374934.1146496816,2,1848283439.490446,1718245859.872611,1557542038.21656,1482455414.012739,2558116560.509554,2953694904.458599,2799251592.356688,2813194904.458599,4677716560.509554,6421311464.968153,6017112101.910828,6333068789.808917,902004458.598726,756531847.133758,539292356.687898,56285987.26114649,1579526751.592357,1664096178.343949,1643989808.917198,1459581528.662421,767987261.1464968,3133234394.904459,2165592356.687898,6539887898.089171,7123972611.464968,9870810828.025476,11112218471.33758,7413912101.910828,9395910191.082802,13134838853.50318,13436908917.19745,8294041401.273885,11240819745.22293,4484455414.012738,5213312101.910828,6554822292.99363,1920212738.853503,2777153503.184713,1405012738.853503,True
24,20.0,1,1.0,0,0.0,1,515138216.5605096,536027388.5350319,523979617.8343949,514985350.3184713,529111464.9681528,549759235.6687897,536939490.4458599,528407006.3694267,472802547.7707006,489887898.089172,546484713.3757962,610864331.210191,0.0,0.0,0.0,0.0,39746496.81528662,49418471.33757962,58749681.52866242,66025477.70700637,222597452.2292994,241873885.3503185,261429936.3057325,373505095.5414013,411628662.4203821,643370700.6369426,799222929.9363056,611640764.3312101,672387898.089172,905069426.7515924,1083467515.923567,3930540127.388535,4339277707.00637,3094824203.821656,3344158598.726115,3638257324.840764,94914649.68152866,44974522.29299363,82966878.98089172,True
25,0.0,1,1.0,0,0.0,1,14278422929.93631,14474152866.24204,15295532484.07643,15923998089.17197,56723940127.38853,88499828025.4777,76652382802.54778,73191882802.54778,5955252866.242038,4644204458.598726,10251742675.15924,13282056050.95541,52287850318.47134,47742923566.87898,29198203821.65605,15301485987.26115,52833295541.40127,48304843312.10191,29730873248.40764,15573978343.94904,12721019.10828026,16894904.45859873,1016560.50955414,3530138853.503185,3158019745.22293,5722024203.821656,3762024840.764331,3875312101.910828,3576523566.878981,6430150955.414013,4564345222.929936,64917449681.52866,72907359872.61147,19123422929.9363,23935845859.87261,27233557324.84076,12087008280.25478,35860153503.18472,31475571974.52229,True
26,0.0,0,0.0,0,0.0,0,5135668.789808917,6840764.33121019,8225477.707006369,8779617.834394904,5135668.789808917,6840764.33121019,8548407.643312102,8779617.834394904,2865605.095541401,7105732.484076433,7364331.210191082,4194267.515923567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1618471.337579618,0.0,17469426.75159236,21740764.33121019,23036305.73248408,19577707.00636943,17547133.75796178,21740764.33121019,24654777.07006369,19577707.00636943,338724840.7643312,336028025.477707,319233757.9617834,337096178.343949,333143949.044586,1103821.656050955,2649681.52866242,1628662.420382166,False
27,60.0,0,0.0,0,0.0,0,1565348407.643312,2129510828.025478,2015802547.7707,1944550318.471338,1870477707.006369,3012166878.980892,3065973885.350318,4000253503.184713,2594122292.99363,43294445222.92993,54334001273.88535,62764245859.87261,99336305.73248409,7072044585.987261,9359010191.082802,9554215923.56688,244973885.3503185,61013635668.78981,47630438853.50318,13316130573.24841,311564331.2101911,0.0,625092356.687898,5507407006.369427,4753982802.547771,32405974522.29299,77774445859.8726,5825687261.146497,5062766878.980891,32670143949.04458,78782273885.35031,16295731210.19108,13155603821.65605,6252534394.904458,16695137579.61783,17101614012.73885,-91138216.56050956,-5046286624.203821,-399406369.4267516,False
28,10.0,363,92.77777777777776,16,11905180.96178344,27,83233523566.87898,82813414012.73885,88735031847.13376,105590338216.5605,164306427388.535,182117920382.1656,208668152866.242,213055296815.2867,85385461783.43948,93039756687.89809,80466878980.89172,69882727388.53503,60904296815.28662,50550113375.79617,53545859872.61147,67327288535.03185,68136008917.19745,57529963694.26752,60552229299.36305,74481664331.21019,13246255414.01274,13900636942.67516,19367008280.25478,57210098089.17197,63737851592.35668,75387261146.49681,55094256050.95541,73733371337.57962,82740110828.02547,93803184713.3758,76735777707.00636,314540764331.2102,268672815923.5669,190734133121.0191,211112738853.5032,201329345222.93,30137970063.69427,61017808280.25478,72423566878.9809,True
29,40.0,7,3.181818181818182,2,3417934.286624204,11,4119698726.114649,3927572611.464968,3885291082.802548,5068259235.66879,4809162420.382165,4207386624.203822,4086118471.337579,5479360509.55414,381067515.9235669,434178980.8917197,781038853.5031847,784470700.6369426,0.0,0.0,0.0,0.0,675217834.3949044,670454140.1273885,540747133.7579618,769213375.7961783,0.0,0.0,0.0,488304458.5987261,593294267.5159235,1143150318.471338,1020098089.171974,681910828.0254776,866355414.0127388,1384940127.388535,1270224840.764331,10273759872.61146,14563691082.80255,5909908917.197452,6478064331.210191,6837770700.636943,-536863694.2675159,6949132484.076433,3359602547.7707,True
30,140.0,12,9.0,3,859826.0191082801,4,38338143949.04459,94061152866.24203,97145986624.2038,109777485987.2611,46793198726.11465,101224894267.5159,107931216560.5096,126844375796.1783,3012760509.55414,15688975159.23567,22601311464.96815,18904169426.75159,6635971337.579618,36045082165.60509,32834063694.26752,22261891082.80255,8024546496.815287,39778434394.90446,37155240764.33121,27230198089.17197,11693385350.31847,23273921019.10828,29283731210.19108,6370090445.859873,10406973248.40764,10992786624.20382,13056510191.0828,18537938853.50319,27681269426.75159,34990158598.72611,43216063057.32484,129478640127.3885,137648414012.7389,38491043312.10191,74991734394.90445,84806590445.85986,29283493630.57325,31233348407.64331,34958696178.34395,True
31,0.0,13,9.666666666666666,3,3226880.891719745,3,2261783439.490446,2763694267.515924,3014649681.528662,3395414012.738853,5283439490.44586,4972611464.968153,3571974522.292993,3796146496.815287,335668789.8089172,450318471.3375796,386624203.8216561,354689171.9745223,0.0,0.0,1371974522.292994,1616645859.872611,83439490.44585986,100000000.0,1500636942.675159,1762168152.866242,0.0,3184713.375796178,8321019.108280255,183439490.4458599,212101910.8280254,133757961.7834395,291142038.2165605,254140127.3885351,282165605.0955414,222929936.3057325,378696178.343949,4520382165.605095,5453705095.541401,2120382165.605096,2330573248.407644,2333416560.509554,3005732484.076433,2852752229.299363,1847133757.961784,True
32,10.0,17,4.125,3,4995108.910828025,16,131407006.3694267,126291082.8025478,118533121.0191083,110529936.3057325,134850955.4140127,126467515.9235669,118554140.1273885,110548407.6433121,49275796.17834394,95885987.26114649,108525477.7070064,73785350.31847133,125031847.133758,129490445.8598726,66242038.21656051,25477707.00636943,125031847.133758,129490445.8598726,66242038.21656051,25477707.00636943,28128025.47770701,66373248.40764331,76972611.46496814,29914649.68152866,40130573.24840764,35902547.77070063,43077707.00636943,58042675.15923566,57557961.78343949,102275796.178344,120050318.4713376,422970063.6942675,416114012.7388535,302008280.2547771,317154140.1273885,298197452.2292994,13804458.59872611,48078343.94904459,51735031.84713376,True
33,10.0,30,9.625,3,536331.7898089172,8,63837579.61783439,81124203.82165605,83270700.63694267,79736942.67515923,65042038.21656051,82270063.69426751,84214649.68152866,80787261.14649682,19019745.22292994,21377070.06369427,22495541.40127388,23412738.85350318,0.0,0.0,0.0,0.0,3852866.242038216,3805095.541401274,4342038.216560509,4513375.796178344,0.0,0.0,0.0,24043949.04458599,23787261.14649681,25432484.07643312,31582165.60509554,28105095.54140127,28205095.54140127,29522929.93630573,36452229.29936305,300268152.8662421,307186624.2038217,262739490.4458598,287241401.2738853,295631210.1910828,11484076.43312102,7629299.363057325,11635031.84713376,True
34,20.0,17,17.0,1,2036519.541401274,1,414475796.178344,739819108.2802547,772554777.0700637,713812738.8535031,745466242.0382165,814654140.1273885,906138853.5031848,924385987.2611464,755429936.3057325,680920382.1656051,566789171.9745222,788371337.5796179,364331210.1910828,122292993.6305732,805995541.4012738,39351592.3566879,429573248.4076433,177884076.433121,960260509.55414,246130573.2484076,691162420.3821656,198194267.5159236,1193177707.006369,622694267.5159235,545991719.7452229,494584713.3757961,1059898089.171974,1349328025.477707,1605915923.566879,864162420.3821656,2338725477.707006,1243119745.22293,1488781528.662421,1040878980.89172,811074522.2929935,1054981528.66242,12990445.85987261,36868152.86624204,105040127.388535,True
35,20.0,0,0.0,0,0.0,0,61477070.06369427,81432484.07643312,133821019.1082803,164794267.5159236,64005732.48407643,84138853.5031847,136061146.4968153,169332484.0764331,109164968.1528662,110417834.3949044,116154777.0700637,183108280.2547771,0.0,0.0,10391719.74522293,0.0,2580254.777070064,2503821.656050955,12759235.66878981,2243949.044585987,22292.99363057325,160496178.343949,77747133.75796178,165515286.6242038,97078343.9490446,99578343.9490446,283474522.2929936,172249681.5286624,198750955.4140128,269185350.3184713,370066878.9808917,572850318.4713376,787782802.5477706,470117834.3949044,380916560.5095541,540523566.8789809,174592356.6878981,50054777.0700637,38330573.24840764,False
36,0.0,0,0.0,0,0.0,0,207792993.6305732,185892993.6305732,177277707.0063694,168154777.0700637,217521656.0509554,198125477.7070064,194470063.6942675,187691082.8025477,124654140.1273885,276109554.1401274,345628025.477707,166245222.9299363,0.0,0.0,0.0,0.0,3722292.993630573,3741401.27388535,4683439.49044586,6159872.611464968,0.0,0.0,0.0,91249044.58598724,235804458.5987261,218855414.0127389,128860509.5541401,98963057.32484075,245069426.7515924,239852866.2420382,161919745.2229299,1731048407.643312,1508480891.719745,631733121.0191083,1264974522.292994,1144273248.407643,164399363.0573248,328539490.4458598,421073885.3503184,False
